run,plane,paddle,voltage_offset_from_default_V,histogram,histogram_path,found,two_peaks_found,fit_ok,pedestal_seed_bin,pedestal_seed_channel,signal_seed_bin,signal_seed_channel,signal_search_start_bin,signal_search_end_bin,seed_method,pedestal_peak,pedestal_peak_uncertainty,pedestal_sigma,pedestal_sigma_uncertainty,pedestal_background,pedestal_background_slope,pedestal_fit_status,signal_peak,signal_peak_uncertainty,signal_sigma,signal_sigma_uncertainty,signal_background,signal_background_slope,signal_fit_status,peak_separation,peak_separation_uncertainty,message
35567,BHD,4,-0.50,qdc_hit_BHD04down,BHD/Paddle04/QDC/qdc_hit_BHD04down,1,1,1,138,137.50,610,609.50,302,2458,Gaussian-smoothed separated-region maxima,134.82,0.25,28.93,0.30,67.98,-0.30,0,601.90,1.05,92.27,1.33,26.69,-0.01,0,467.08,1.08,ok; seeds 137.5 / 609.5; Gaussian-smoothed separated-region maxima
35567,BHD,5,-0.50,qdc_hit_BHD05down,BHD/Paddle05/QDC/qdc_hit_BHD05down,1,1,1,131,130.50,504,503.50,315,2458,Gaussian-smoothed separated-region maxima,127.89,0.23,34.87,0.28,88.50,-0.14,0,495.82,0.73,86.86,0.95,64.76,0.00,0,367.93,0.76,ok; seeds 130.5 / 503.5; Gaussian-smoothed separated-region maxima
35567,BHD,6,-0.50,qdc_hit_BHD06down,BHD/Paddle06/QDC/qdc_hit_BHD06down,1,1,1,147,146.50,575,574.50,379,2458,Gaussian-smoothed separated-region maxima,143.52,0.27,43.17,0.33,91.53,-0.22,0,575.35,0.80,104.08,1.15,72.37,0.05,0,431.83,0.85,ok; seeds 146.5 / 574.5; Gaussian-smoothed separated-region maxima
35567,BHD,7,-0.50,qdc_hit_BHD07down,BHD/Paddle07/QDC/qdc_hit_BHD07down,1,1,1,159,158.50,535,534.50,363,2458,Gaussian-smoothed separated-region maxima,154.58,0.24,36.43,0.29,101.59,-0.29,0,547.84,0.73,90.65,0.97,74.61,0.01,0,393.27,0.76,ok; seeds 158.5 / 534.5; Gaussian-smoothed separated-region maxima
35567,BHD,8,-0.50,qdc_hit_BHD08down,BHD/Paddle08/QDC/qdc_hit_BHD08down,1,1,1,125,124.50,642,641.50,321,2458,Gaussian-smoothed separated-region maxima,121.63,0.28,35.40,0.34,64.88,-0.21,0,644.83,1.16,115.80,1.47,25.60,-0.01,0,523.20,1.19,ok; seeds 124.5 / 641.5; Gaussian-smoothed separated-region maxima
35566,BHD,4,0.00,qdc_hit_BHD04down,BHD/Paddle04/QDC/qdc_hit_BHD04down,1,1,1,138,137.50,671,670.50,318,2458,Gaussian-smoothed separated-region maxima,135.20,0.29,33.71,0.36,55.08,-0.21,0,671.33,1.40,110.77,2.02,20.69,-0.00,0,536.14,1.43,ok; seeds 137.5 / 670.5; Gaussian-smoothed separated-region maxima
35566,BHD,5,0.00,qdc_hit_BHD05down,BHD/Paddle05/QDC/qdc_hit_BHD05down,1,1,1,131,130.50,527,526.50,335,2458,Gaussian-smoothed separated-region maxima,128.13,0.26,39.11,0.33,82.13,-0.17,0,544.17,1.07,95.01,1.49,65.53,0.05,0,416.04,1.10,ok; seeds 130.5 / 526.5; Gaussian-smoothed separated-region maxima
35566,BHD,6,0.00,qdc_hit_BHD06down,BHD/Paddle06/QDC/qdc_hit_BHD06down,1,1,1,147,146.50,648,647.50,415,2458,Gaussian-smoothed separated-region maxima,141.86,0.31,49.37,0.37,77.88,-0.18,0,637.60,0.86,119.24,1.20,60.67,0.03,0,495.74,0.92,ok; seeds 146.5 / 647.5; Gaussian-smoothed separated-region maxima
35566,BHD,7,0.00,qdc_hit_BHD07down,BHD/Paddle07/QDC/qdc_hit_BHD07down,1,1,1,158,157.50,595,594.50,386,2458,Gaussian-smoothed separated-region maxima,153.50,0.27,41.20,0.33,94.31,-0.26,0,601.50,0.88,103.98,1.24,63.68,0.03,0,448.00,0.92,ok; seeds 157.5 / 594.5; Gaussian-smoothed separated-region maxima
35566,BHD,8,0.00,qdc_hit_BHD08down,BHD/Paddle08/QDC/qdc_hit_BHD08down,1,1,1,126,125.50,623,622.50,326,2458,Gaussian-smoothed separated-region maxima,121.94,0.29,35.37,0.35,65.98,-0.25,0,648.20,1.22,116.50,1.52,26.30,-0.02,0,526.26,1.25,ok; seeds 125.5 / 622.5; Gaussian-smoothed separated-region maxima
35568,BHD,4,0.50,qdc_hit_BHD04down,BHD/Paddle04/QDC/qdc_hit_BHD04down,1,1,1,140,139.50,777,776.50,352,2458,Gaussian-smoothed separated-region maxima,135.95,0.33,37.23,0.40,55.36,-0.18,0,739.64,1.68,131.42,2.33,14.18,0.00,0,603.69,1.71,ok; seeds 139.5 / 776.5; Gaussian-smoothed separated-region maxima
35568,BHD,5,0.50,qdc_hit_BHD05down,BHD/Paddle05/QDC/qdc_hit_BHD05down,1,1,1,132,131.50,604,603.50,368,2458,Gaussian-smoothed separated-region maxima,127.83,0.30,43.85,0.37,78.72,-0.12,0,601.81,0.95,109.87,1.26,52.51,0.01,0,473.98,1.00,ok; seeds 131.5 / 603.5; Gaussian-smoothed separated-region maxima
35568,BHD,6,0.50,qdc_hit_BHD06down,BHD/Paddle06/QDC/qdc_hit_BHD06down,1,1,1,150,149.50,704,703.50,466,2458,Gaussian-smoothed separated-region maxima,140.84,0.37,55.27,0.45,73.69,-0.15,0,697.97,1.02,133.89,1.48,53.87,0.03,0,557.13,1.08,ok; seeds 149.5 / 703.5; Gaussian-smoothed separated-region maxima
35568,BHD,7,0.50,qdc_hit_BHD07down,BHD/Paddle07/QDC/qdc_hit_BHD07down,1,1,1,158,157.50,667,666.50,422,2458,Gaussian-smoothed separated-region maxima,151.35,0.32,48.39,0.39,74.28,-0.15,0,660.99,0.94,119.01,1.33,51.74,0.02,0,509.63,0.99,ok; seeds 157.5 / 666.5; Gaussian-smoothed separated-region maxima
35568,BHD,8,0.50,qdc_hit_BHD08down,BHD/Paddle08/QDC/qdc_hit_BHD08down,1,1,1,126,125.50,669,668.50,330,2458,Gaussian-smoothed separated-region maxima,121.34,0.29,35.37,0.35,67.34,-0.21,0,646.59,1.07,115.86,1.26,25.40,-0.02,0,525.26,1.10,ok; seeds 125.5 / 668.5; Gaussian-smoothed separated-region maxima
35569,BHD,4,1.00,qdc_hit_BHD04down,BHD/Paddle04/QDC/qdc_hit_BHD04down,1,1,1,139,138.50,847,846.50,367,2458,Gaussian-smoothed separated-region maxima,134.96,0.37,42.94,0.48,45.67,-0.12,0,818.10,1.48,138.60,1.92,14.96,-0.01,0,683.14,1.52,ok; seeds 138.5 / 846.5; Gaussian-smoothed separated-region maxima
35569,BHD,5,1.00,qdc_hit_BHD05down,BHD/Paddle05/QDC/qdc_hit_BHD05down,1,1,1,132,131.50,680,679.50,392,2458,Gaussian-smoothed separated-region maxima,127.83,0.34,49.45,0.44,68.31,-0.13,0,657.75,1.05,127.52,1.41,42.70,0.00,0,529.92,1.10,ok; seeds 131.5 / 679.5; Gaussian-smoothed separated-region maxima
35569,BHD,6,1.00,qdc_hit_BHD06down,BHD/Paddle06/QDC/qdc_hit_BHD06down,1,1,1,144,143.50,752,751.50,472,2458,Gaussian-smoothed separated-region maxima,141.51,0.47,59.73,0.66,79.07,-0.25,0,762.63,1.09,147.85,1.46,51.03,0.02,0,621.12,1.19,ok; seeds 143.5 / 751.5; Gaussian-smoothed separated-region maxima
35569,BHD,7,1.00,qdc_hit_BHD07down,BHD/Paddle07/QDC/qdc_hit_BHD07down,1,1,1,159,158.50,732,731.50,459,2458,Gaussian-smoothed separated-region maxima,150.20,0.36,53.63,0.44,69.04,-0.11,0,726.00,0.87,131.49,1.04,47.49,-0.01,0,575.80,0.94,ok; seeds 158.5 / 731.5; Gaussian-smoothed separated-region maxima
35569,BHD,8,1.00,qdc_hit_BHD08down,BHD/Paddle08/QDC/qdc_hit_BHD08down,1,1,1,126,125.50,651,650.50,326,2458,Gaussian-smoothed separated-region maxima,121.36,0.29,35.18,0.35,67.21,-0.23,0,637.80,1.52,121.79,2.33,20.72,0.00,0,516.44,1.55,ok; seeds 125.5 / 650.5; Gaussian-smoothed separated-region maxima
35570,BHC,4,-0.50,qdc_hit_BHC04left,BHC/Paddle04/QDC/qdc_hit_BHC04left,1,1,1,137,136.50,361,360.50,287,2458,Gaussian-smoothed separated-region maxima,135.73,0.12,16.23,0.14,64.01,0.14,0,360.07,0.70,47.76,0.99,31.87,0.02,0,224.34,0.71,ok; seeds 136.5 / 360.5; Gaussian-smoothed separated-region maxima
35570,BHC,5,-0.50,qdc_hit_BHC05left,BHC/Paddle05/QDC/qdc_hit_BHC05left,1,1,1,136,135.50,379,378.50,287,2458,Gaussian-smoothed separated-region maxima,134.46,0.13,18.17,0.14,78.31,0.02,0,371.25,0.64,54.37,0.83,40.48,-0.04,0,236.80,0.65,ok; seeds 135.5 / 378.5; Gaussian-smoothed separated-region maxima
35570,BHC,6,-0.50,qdc_hit_BHC06left,BHC/Paddle06/QDC/qdc_hit_BHC06left,1,1,1,147,146.50,370,369.50,287,2458,Gaussian-smoothed separated-region maxima,145.77,0.13,21.23,0.15,74.76,0.21,0,372.04,0.59,51.69,0.82,66.41,0.01,0,226.27,0.60,ok; seeds 146.5 / 369.5; Gaussian-smoothed separated-region maxima
35570,BHC,7,-0.50,qdc_hit_BHC07left,BHC/Paddle07/QDC/qdc_hit_BHC07left,1,1,1,144,143.50,319,318.50,287,2458,Gaussian-smoothed separated-region maxima,142.36,0.11,20.40,0.12,99.69,0.42,0,320.50,0.55,44.83,0.83,106.28,0.04,0,178.14,0.56,ok; seeds 143.5 / 318.5; Gaussian-smoothed separated-region maxima
35570,BHC,8,-0.50,qdc_hit_BHC08left,BHC/Paddle08/QDC/qdc_hit_BHC08left,1,1,1,121,120.50,310,309.50,287,2458,Gaussian-smoothed separated-region maxima,119.62,0.11,20.02,0.13,106.25,0.30,0,310.44,0.73,45.82,1.30,99.40,0.20,0,190.82,0.74,ok; seeds 120.5 / 309.5; Gaussian-smoothed separated-region maxima
35570,BHC,9,-0.50,qdc_hit_BHC09left,BHC/Paddle09/QDC/qdc_hit_BHC09left,1,1,1,127,126.50,292,291.50,287,2458,Gaussian-smoothed separated-region maxima,125.65,0.12,18.62,0.14,92.78,0.93,0,289.39,3.04,29.30,7.92,233.78,0.06,0,163.74,3.04,ok; seeds 126.5 / 291.5; Gaussian-smoothed separated-region maxima
35570,BHC,10,-0.50,qdc_hit_BHC10left,BHC/Paddle10/QDC/qdc_hit_BHC10left,1,1,1,132,131.50,320,319.50,287,2458,Gaussian-smoothed separated-region maxima,130.89,0.12,17.37,0.13,70.81,0.60,0,323.81,0.61,43.56,0.90,52.75,-0.04,0,192.93,0.62,ok; seeds 131.5 / 319.5; Gaussian-smoothed separated-region maxima
35570,BHC,11,-0.50,qdc_hit_BHC11left,BHC/Paddle11/QDC/qdc_hit_BHC11left,1,1,1,139,138.50,382,381.50,287,2458,Gaussian-smoothed separated-region maxima,137.40,0.13,17.03,0.14,60.64,0.04,0,380.36,0.73,51.85,1.03,27.76,0.02,0,242.96,0.74,ok; seeds 138.5 / 381.5; Gaussian-smoothed separated-region maxima
35566,BHC,4,0.00,qdc_hit_BHC04left,BHC/Paddle04/QDC/qdc_hit_BHC04left,1,1,1,138,137.50,393,392.50,287,2458,Gaussian-smoothed separated-region maxima,136.51,0.14,18.10,0.16,58.54,0.09,0,389.35,0.75,54.87,1.03,24.93,0.01,0,252.85,0.76,ok; seeds 137.5 / 392.5; Gaussian-smoothed separated-region maxima
35566,BHC,5,0.00,qdc_hit_BHC05left,BHC/Paddle05/QDC/qdc_hit_BHC05left,1,1,1,138,137.50,424,423.50,287,2458,Gaussian-smoothed separated-region maxima,136.00,0.15,22.53,0.17,72.30,-0.09,0,430.59,1.02,65.93,1.49,37.16,0.01,0,294.59,1.03,ok; seeds 137.5 / 423.5; Gaussian-smoothed separated-region maxima
35566,BHC,6,0.00,qdc_hit_BHC06left,BHC/Paddle06/QDC/qdc_hit_BHC06left,1,1,1,148,147.50,420,419.50,287,2458,Gaussian-smoothed separated-region maxima,146.29,0.16,25.88,0.19,63.95,0.03,0,427.46,0.77,65.60,1.07,49.44,0.00,0,281.17,0.78,ok; seeds 147.5 / 419.5; Gaussian-smoothed separated-region maxima
35566,BHC,7,0.00,qdc_hit_BHC07left,BHC/Paddle07/QDC/qdc_hit_BHC07left,1,1,1,145,144.50,359,358.50,287,2458,Gaussian-smoothed separated-region maxima,143.57,0.11,24.02,0.13,100.75,-0.05,0,360.62,0.66,54.06,1.00,89.75,0.09,0,217.05,0.67,ok; seeds 144.5 / 358.5; Gaussian-smoothed separated-region maxima
35566,BHC,8,0.00,qdc_hit_BHC08left,BHC/Paddle08/QDC/qdc_hit_BHC08left,1,1,1,122,121.50,355,354.50,287,2458,Gaussian-smoothed separated-region maxima,120.68,0.13,24.17,0.15,100.98,-0.14,0,357.78,0.60,55.56,0.83,81.00,0.00,0,237.10,0.61,ok; seeds 121.5 / 354.5; Gaussian-smoothed separated-region maxima
35566,BHC,9,0.00,qdc_hit_BHC09left,BHC/Paddle09/QDC/qdc_hit_BHC09left,1,1,1,128,127.50,326,325.50,287,2458,Gaussian-smoothed separated-region maxima,126.00,0.14,23.42,0.17,77.60,0.67,0,328.88,0.72,50.38,1.11,78.52,0.05,0,202.88,0.73,ok; seeds 127.5 / 325.5; Gaussian-smoothed separated-region maxima
35566,BHC,10,0.00,qdc_hit_BHC10left,BHC/Paddle10/QDC/qdc_hit_BHC10left,1,1,1,133,132.50,371,370.50,287,2458,Gaussian-smoothed separated-region maxima,131.14,0.15,21.53,0.18,67.59,0.49,0,370.10,0.74,53.62,1.08,42.68,-0.00,0,238.96,0.75,ok; seeds 132.5 / 370.5; Gaussian-smoothed separated-region maxima
35566,BHC,11,0.00,qdc_hit_BHC11left,BHC/Paddle11/QDC/qdc_hit_BHC11left,1,1,1,140,139.50,412,411.50,287,2458,Gaussian-smoothed separated-region maxima,137.86,0.15,19.15,0.17,60.41,0.00,0,412.71,0.69,55.42,0.86,30.96,-0.01,0,274.85,0.70,ok; seeds 139.5 / 411.5; Gaussian-smoothed separated-region maxima
35571,BHC,4,0.50,qdc_hit_BHC04left,BHC/Paddle04/QDC/qdc_hit_BHC04left,1,1,1,138,137.50,424,423.50,287,2458,Gaussian-smoothed separated-region maxima,136.69,0.15,19.65,0.18,64.02,0.03,0,418.85,0.74,58.45,0.93,26.22,-0.01,0,282.16,0.75,ok; seeds 137.5 / 423.5; Gaussian-smoothed separated-region maxima
35571,BHC,5,0.50,qdc_hit_BHC05left,BHC/Paddle05/QDC/qdc_hit_BHC05left,1,1,1,140,139.50,489,488.50,287,2458,Gaussian-smoothed separated-region maxima,138.24,0.15,25.84,0.18,79.59,-0.40,0,489.36,0.99,78.55,1.33,29.03,-0.01,0,351.12,1.00,ok; seeds 139.5 / 488.5; Gaussian-smoothed separated-region maxima
35571,BHC,6,0.50,qdc_hit_BHC06left,BHC/Paddle06/QDC/qdc_hit_BHC06left,1,1,1,150,149.50,476,475.50,306,2458,Gaussian-smoothed separated-region maxima,147.44,0.17,29.30,0.21,67.38,-0.15,0,479.26,0.81,76.15,1.10,42.42,-0.00,0,331.81,0.83,ok; seeds 149.5 / 475.5; Gaussian-smoothed separated-region maxima
35571,BHC,7,0.50,qdc_hit_BHC07left,BHC/Paddle07/QDC/qdc_hit_BHC07left,1,1,1,146,145.50,402,401.50,290,2458,Gaussian-smoothed separated-region maxima,144.07,0.10,27.03,0.12,119.63,-0.52,0,398.31,0.72,64.71,1.12,72.30,0.06,0,254.25,0.73,ok; seeds 145.5 / 401.5; Gaussian-smoothed separated-region maxima
35571,BHC,8,0.50,qdc_hit_BHC08left,BHC/Paddle08/QDC/qdc_hit_BHC08left,1,1,1,124,123.50,400,399.50,287,2458,Gaussian-smoothed separated-region maxima,121.88,0.12,27.32,0.14,105.26,-0.45,0,398.10,0.66,65.56,0.91,65.74,-0.01,0,276.22,0.67,ok; seeds 123.5 / 399.5; Gaussian-smoothed separated-region maxima
35571,BHC,9,0.50,qdc_hit_BHC09left,BHC/Paddle09/QDC/qdc_hit_BHC09left,1,1,1,128,127.50,376,375.50,287,2458,Gaussian-smoothed separated-region maxima,127.40,0.17,27.43,0.21,73.39,0.49,0,365.71,0.80,60.63,1.26,53.05,0.03,0,238.31,0.82,ok; seeds 127.5 / 375.5; Gaussian-smoothed separated-region maxima
35571,BHC,10,0.50,qdc_hit_BHC10left,BHC/Paddle10/QDC/qdc_hit_BHC10left,1,1,1,134,133.50,425,424.50,287,2458,Gaussian-smoothed separated-region maxima,132.96,0.17,25.66,0.20,58.63,0.30,0,414.30,0.83,65.33,1.21,29.81,-0.02,0,281.35,0.85,ok; seeds 133.5 / 424.5; Gaussian-smoothed separated-region maxima
35571,BHC,11,0.50,qdc_hit_BHC11left,BHC/Paddle11/QDC/qdc_hit_BHC11left,1,1,1,140,139.50,449,448.50,287,2458,Gaussian-smoothed separated-region maxima,138.91,0.16,21.46,0.19,56.13,-0.07,0,442.75,0.74,61.68,0.95,24.42,-0.02,0,303.84,0.76,ok; seeds 139.5 / 448.5; Gaussian-smoothed separated-region maxima
35572,BHC,4,1.00,qdc_hit_BHC04left,BHC/Paddle04/QDC/qdc_hit_BHC04left,1,1,1,139,138.50,448,447.50,287,2458,Gaussian-smoothed separated-region maxima,137.83,0.17,21.97,0.20,57.61,-0.06,0,449.73,0.89,64.74,1.16,24.88,-0.01,0,311.90,0.91,ok; seeds 138.5 / 447.5; Gaussian-smoothed separated-region maxima
35572,BHC,5,1.00,qdc_hit_BHC05left,BHC/Paddle05/QDC/qdc_hit_BHC05left,1,1,1,141,140.50,542,541.50,293,2458,Gaussian-smoothed separated-region maxima,139.40,0.14,28.38,0.17,104.09,-0.69,0,541.19,1.24,88.06,1.82,26.28,0.01,0,401.79,1.25,ok; seeds 140.5 / 541.5; Gaussian-smoothed separated-region maxima
35572,BHC,6,1.00,qdc_hit_BHC06left,BHC/Paddle06/QDC/qdc_hit_BHC06left,1,1,1,152,151.50,531,530.50,324,2458,Gaussian-smoothed separated-region maxima,149.24,0.17,32.01,0.20,86.90,-0.38,0,525.20,0.95,88.55,1.35,32.32,0.01,0,375.96,0.96,ok; seeds 151.5 / 530.5; Gaussian-smoothed separated-region maxima
35572,BHC,7,1.00,qdc_hit_BHC07left,BHC/Paddle07/QDC/qdc_hit_BHC07left,1,1,1,146,145.50,425,424.50,306,2458,Gaussian-smoothed separated-region maxima,143.85,0.10,30.33,0.12,136.39,-0.85,0,430.78,0.82,68.98,1.23,75.57,0.08,0,286.93,0.83,ok; seeds 145.5 / 424.5; Gaussian-smoothed separated-region maxima
