run,plane,paddle,type,histogram,hist_path,found,fit_ok,fit_status,entries,peak,peak_uncertainty,sigma,sigma_uncertainty,amplitude,amplitude_uncertainty,chi2,ndf,fit_low,fit_high,message,two_peaks_found,two_peak_fit_ok,seed_method,pedestal_peak,pedestal_peak_uncertainty,pedestal_sigma,pedestal_sigma_uncertainty,pedestal_amplitude,pedestal_amplitude_uncertainty,pedestal_chi2,pedestal_ndf,pedestal_fit_low,pedestal_fit_high,pedestal_fit_status,signal_peak,signal_peak_uncertainty,signal_sigma,signal_sigma_uncertainty,signal_amplitude,signal_amplitude_uncertainty,signal_chi2,signal_ndf,signal_fit_low,signal_fit_high,signal_fit_status,peak_separation,peak_separation_uncertainty,two_peak_message
35566,BHC,00,QDC,qdc_hit_BHC00left,BHC/Paddle00/QDC/qdc_hit_BHC00left,1,1,0,2360,122.65,0.43,11.66,0.51,43.87,1.78,56.80,36,104.39,142.61,ok,1,1,separated-window fallback,122.89,0.58,10.57,0.98,46.88,2.19,24.64,21,111.49,134.50,0,466.55,3.07,6.39,2.85,2.90,0.68,18.49,12,458.37,473.19,0,343.66,3.12,ok
35566,BHC,01,QDC,qdc_hit_BHC01left,BHC/Paddle01/QDC/qdc_hit_BHC01left,1,1,0,3369,128.02,0.35,13.76,0.33,53.68,1.69,83.13,64,89.38,155.62,ok,1,1,automatic broad-peak search,127.33,0.71,13.03,1.43,56.23,2.32,18.26,22,115.50,139.79,0,200.43,1.36,5.74,2.37,4.45,0.90,8.92,10,195.50,207.50,0,73.10,1.53,ok
35566,BHC,02,QDC,qdc_hit_BHC02left,BHC/Paddle02/QDC/qdc_hit_BHC02left,1,1,0,4473,132.22,0.31,14.19,0.30,69.38,1.90,73.14,64,99.38,165.62,ok,1,0,automatic broad-peak search,133.76,1.88,17.70,6.55,72.42,2.94,13.24,15,123.50,141.12,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,pedestal: ok (refined symmetric core); signal: could not construct symmetric core window
35566,BHC,03,QDC,qdc_hit_BHC03left,BHC/Paddle03/QDC/qdc_hit_BHC03left,1,1,0,15224,133.97,0.20,18.25,0.20,205.24,2.91,229.38,86,88.91,178.09,ok,1,1,automatic broad-peak search,132.67,0.32,15.13,0.54,227.09,4.05,26.39,31,116,149.50,0,387.75,8.28,25.47,11.11,17.46,1.16,26.37,27,373,402.50,0,255.08,8.29,ok
35566,BHC,04,QDC,qdc_hit_BHC04left,BHC/Paddle04/QDC/qdc_hit_BHC04left,1,1,0,76883,136.81,0.11,21.42,0.11,764.10,5.20,885.63,112,86.18,200.82,ok,1,1,automatic broad-peak search,137.61,0.23,18.64,0.47,831.22,7.54,33.01,32,120.50,154.53,0,388.90,1.61,65.43,5.08,183.92,2.30,93.17,77,348.50,427.89,0,251.28,1.63,ok
35566,BHC,05,QDC,qdc_hit_BHC05left,BHC/Paddle05/QDC/qdc_hit_BHC05left,1,1,0,108221,135.65,0.11,26.47,0.10,936.41,5.05,807.92,138,67.44,207.56,ok,1,1,automatic broad-peak search,136.96,0.23,23.54,0.46,1002.99,7.31,63.78,42,114.50,159.22,0,382.75,1.29,126.46,126.20,158.38,1.90,94.99,41,361,404.50,0,245.79,1.31,ok
35566,BHC,06,QDC,qdc_hit_BHC06left,BHC/Paddle06/QDC/qdc_hit_BHC06left,1,1,0,131706,146.43,0.12,30.03,0.11,923.24,4.70,1072.66,160,67.97,231.03,ok,1,1,automatic broad-peak search,147.78,0.23,25.79,0.43,995,6.80,48.44,49,121.91,173.50,0,401.50,0.13,74.81,11.28,259.99,3.06,144.34,60,370.50,432.50,0,253.72,0.26,ok
35566,BHC,07,QDC,qdc_hit_BHC07left,BHC/Paddle07/QDC/qdc_hit_BHC07left,1,1,0,189839,143.45,0.08,27.29,0.07,1664.72,6.55,1058.26,144,70.61,218.39,ok,1,1,automatic broad-peak search,144.56,0.16,23.74,0.31,1776.76,9.45,53.09,45,120.65,168.50,0,359.71,0.89,63.61,2.41,396.02,3.20,75.89,87,314.51,404.50,0,215.15,0.90,ok
35566,BHC,08,QDC,qdc_hit_BHC08left,BHC/Paddle08/QDC/qdc_hit_BHC08left,1,1,0,174466,120.45,0.09,28.23,0.08,1408.98,6,1478.26,152,46.79,202.21,ok,1,1,automatic broad-peak search,121.61,0.18,24.66,0.34,1515.42,8.56,50.33,47,96.85,146.50,0,343.50,0.19,66.46,9.32,370.71,3.92,86.79,52,316.50,370.50,0,221.89,0.26,ok
35566,BHC,09,QDC,qdc_hit_BHC09left,BHC/Paddle09/QDC/qdc_hit_BHC09left,1,1,0,129978,128.06,0.11,27.32,0.10,986.08,5.06,1060.04,144,51.61,199.39,ok,1,1,automatic broad-peak search,127.03,0.27,23.54,0.62,1064.07,8.02,46.57,36,107.50,146.29,0,326.90,1.03,62.27,2.99,355.69,3.17,77.95,79,286.63,368.50,0,199.87,1.06,ok
